"Main Tree"
"PCB Reference","Part Description","Package Size", "Quantity per Board"
U1,555-Timer,8-DIP,1
U2,ULN2003 Darlington Transistor Array,SOIC-16,1
U3,4017 Decade Counter,SOIC-16,1
F1,250mA Polyfuse,THT,1
J3,Micro USB Right Angle,Würth Elektronik 614105150721,1
J4,5-9V Battery Connector,2-pin 0.1" header,1
C2, 0.1uF Decoupling Capacitor,SMD-0805,1
R1,4.7KΩ Resistor,THT,1
C1,100uF Capacitor,THT,1
D1-D15,5mm LED,THT,15
R2-R16,330Ω Resistor,SMD-0805,15
"Auxiliary Tree"
"PCB Reference","Part Description","Package Size", "Quantity per Board"
R1-R7,330Ω Resistor,SMD-0805,7
D1-D7,5mm LED,THT,7
J1,8-pin Right Angle 2.54mm Header,THT,1
